School,Abbreviation
Texas Woman's University,TWU
The New School,The New School
The University of Texas at Tyler,UT Tyler
The University of Texas Medical Branch at Galveston,UTMB
The University of Texas Rio Grande Valley,UTRGV
The University of West Florida,UWF
Thomas Jefferson University,TJU
University of AkronMain Campus,Akron
"University of Alabama, Huntsville",UAH
University of Alaska Fairbanks,UAF
University of Arkansas at Little Rock,UALR
University of Arkansas for Medical Sciences,UAMS
University of Colorado Colorado Springs,UCCS
University of Massachusetts Chan Medical School,UMass Chan
University of Massachusetts Dartmouth,UMass Dartmouth
University of Michigan-Dearborn,UM-Dearborn
University of Missouri–St. Louis,UMSL
University of Nebraska Omaha,UNO
University of New England,UNE
University of New Orleans,UNO-LA
University of North Carolina at Greensboro,UNCG
University of North Carolina Wilmington,UNCW
University of North Florida,UNF
University of Northern Colorado,UNCo
University of Oklahoma-Health Sciences Center,OU HSC
"University of Puerto Rico, Mayaguez",UPRM
"University of Puerto Rico, Rio Piedras",UPRRP
University of San Diego,USD
University of San Francisco,USFCA
University of South Alabama,USA
University of South Dakota,USDAK
University of Tulsa,TU
Upstate Medical University,SUNY Upstate
Villanova University,Villanova
Virginia State University,VSU
Wake Forest University,Wake Forest
West Chester University of Pennsylvania,WCU
Western Michigan University,WMU
Wichita State University,Wichita State
Wright State University,Wright State
Yeshiva University,YU
University of Oxford,Oxford
University of Cambridge,Cambridge
Swiss Federal Institute of Technology,ETH Zurich
Imperial College London,Imperial
University College London,UCL
The London School of Economics and Political Science,LSE
Delft University of Technology,TU Delft
Technical University of Munich,TUM
PSL Research University,PSL
Sorbonne University,Sorbonne
KU Leuven,KU Leuven
University of Amsterdam,UvA
Heidelberg University,Heidelberg
Karolinska Institute,KI
École Polytechnique Fédérale de Lausanne,EPFL
University of Copenhagen,UCPH
University of Edinburgh,UoE
King's College London,KCL
Ludwig Maximilian University of Munich,LMU Munich
Paris-Saclay University,Paris-Saclay
Trinity College Dublin,TCD
Sapienza University of Rome,Sapienza
University of Helsinki,HY
Ghent University,UGent
Erasmus University Rotterdam,EUR
RWTH Aachen University,RWTH
Humboldt University of Berlin,HU Berlin
University of Manchester,UoM
University of Zurich,UZH
Politecnico di Milano,Polimi
University of Barcelona,UB-BCN
Stockholm University,SU
Uppsala University,UU
Technical University of Denmark,DTU
Leiden University,Leiden
National University of Singapore,NUS
Nanyang Technological University,NTU
Singapore Management University,SMU-SG
Singapore University of Technology and Design,SUTD
Singapore Institute of Technology,SIT
Singapore University of Social Sciences,SUSS
The University of Hong Kong,HKU
The Chinese University of Hong Kong,CUHK
The Hong Kong University of Science and Technology,HKUST
The Hong Kong Polytechnic University,PolyU
City University of Hong Kong,CityU
Hong Kong Baptist University,HKBU
Lingnan University,LU
The Education University of Hong Kong,EdUHK
Hong Kong Metropolitan University,HKMU
Hong Kong Shue Yan University,HKSYU
The Hang Seng University of Hong Kong,HSUHK
University of Toronto,UofT
University of British Columbia,UBC
McGill University,McGill
University of Alberta,UAlberta
McMaster University,McMaster
University of Waterloo,UWaterloo
Université de Montréal,UdeM
University of Ottawa,uOttawa
University of Calgary,UCalgary
Western University,Western
Queen's University,Queens
Simon Fraser University,SFU
Dalhousie University,Dal
University of Victoria,UVic
University of Saskatchewan,USask
Université Laval,Laval
University of Guelph,UGuelph
York University,York
Carleton University,Carleton
University of Manitoba,UManitoba
Concordia University,Concordia
Memorial University of Newfoundland,MUN
Toronto Metropolitan University,TMU
University of Windsor,UWindsor
University of New Brunswick,UNB
Wilfrid Laurier University,WLU
Université du Québec,UQ
Ontario Tech University,OntarioTech
Brock University,Brock
University of Regina,URegina
Scripps Research,Scripps Research
University of Glasgow,UofG
University of Bristol,Bristol
The University of Warwick,Warwick
Heidelberg University,Uni Heidelberg
University of Leeds,Leeds
The University of Sheffield,Sheffield
Durham University,Durham
University of Oslo,UiO
Technische Universität Berlin,TU Berlin
University of Liverpool,Liverpool
University of Vienna,UniVie
Max Planck Institute,MPI
Korea Advanced Institute of Science & Technology,KAIST
Seoul National University,SNU
Korea University,Korea
Yonsei University,Yonsei
Sungkyunkwan University,SKKU
Hanyang University,HYU
Pohang University of Science and Technology,POSTECH
The University of Tokyo,UTokyo
Kyoto University,KyotoU
Tokyo Institute of Technology,Tokyo Tech
Osaka University,OsakaU
Tohoku University,Tohoku
Nagoya University,Nagoya
Hokkaido University,HU
Waseda University,Waseda
Kyushu University,KyushuU
Mohamed bin Zayed University of Artificial Intelligence,MBZUAI
King Abdullah University of Science and Technology,KAUST
